snapshot_date,card_name,listings,low_ask,bin_count,auction_count,total_bids,max_bids,status
2026-08-24,UNL-228 Pyke Bloodharbor Ripper,2,0.99,0,2,21,20,ok
2026-08-24,UNL-229 Vi Piltover Enforcer,2,2000.0,2,0,0,0,ok
2026-08-24,UNL-230 Lillia Bashful Bloom,1,950.0,1,0,0,0,ok
2026-08-24,UNL-231 Master Yi Wuju Master,2,0.99,0,2,7,6,ok
2026-08-24,UNL-234 Diana Scorn of the Moon,2,0.99,1,1,0,0,ok
2026-08-24,UNL-235 Leblanc Deceiver,2,0.99,1,1,1,1,ok
2026-08-24,UNL-236 Kha'Zix Voidreaver,2,1200.0,1,1,8,8,ok
2026-08-24,UNL-237 Poppy Keeper of the Hammer,3,1350.0,2,1,0,0,ok
2026-08-24,[no-match],6,1025.0,3,3,32,17,ok
2026-08-24,[set-ambiguous] Sett,1,3000.0,1,0,0,0,ok
2026-08-26,OGN-299 Kai'Sa Daughter of the Void,5,6699.69,2,3,82,38,ok
2026-08-26,OGN-300 Volibear Relentless Storm,3,680.0,2,1,12,12,ok
2026-08-26,OGN-301 Jinx Loose Cannon,18,200.0,10,8,139,42,ok
2026-08-26,OGN-302 Darius Hand of Noxus,6,1125.0,5,1,33,33,ok
2026-08-26,OGN-303 Ahri Nine-Tailed Fox,8,2555.0,6,2,55,44,ok
2026-08-26,OGN-304 Lee Sin Blind Monk,3,5599.99,3,0,0,0,ok
2026-08-26,OGN-305 Yasuo Unforgiven,4,2599.59,3,1,19,19,ok
2026-08-26,OGN-306 Leona Radiant Dawn,6,1779.79,6,0,0,0,ok
2026-08-26,OGN-307 Teemo Swift Scout,8,2599.59,8,0,0,0,ok
2026-08-26,OGN-308 Viktor Herald of the Arcane,3,1925.0,1,2,32,21,ok
2026-08-26,OGN-309 Miss Fortune Bounty Hunter,7,0.99,3,4,38,28,ok
2026-08-26,OGN-310 Sett The Boss,7,90.0,6,1,9,9,ok
2026-08-26,SFD-223 Vayne Hunter,6,1899.89,5,1,16,16,ok
2026-08-26,SFD-224 Aphelios Exalted,5,152.5,4,1,14,14,ok
2026-08-26,SFD-225 Irelia Fervent,7,510.0,2,5,118,34,ok
2026-08-26,SFD-227 Ahri Inquisitive,15,4550.0,12,3,64,34,ok
2026-08-26,SFD-228 Bard Mercurial,3,799.79,2,1,0,0,ok
2026-08-26,SFD-230 Teemo Strategist,8,217.5,6,2,33,23,ok
2026-08-26,SFD-232 Sett Brawler,4,1399.39,3,1,0,0,ok
2026-08-26,SFD-233 Yone Blademaster,5,455.0,4,1,6,6,ok
2026-08-26,SFD-235 Yasuo Windrider,3,20.5,1,2,44,41,ok
